Observations,Producton,CDID,Time
2098.4,Manufacture of air and spacecraft and related machinery,JQS8,Jul 2016
2127.5,Manufacture of air and spacecraft and related machinery,JQS8,Aug 2016
2217.7,Manufacture of air and spacecraft and related machinery,JQS8,Sep 2016
2557.6,Manufacture of air and spacecraft and related machinery,JQS8,Oct 2016
2493.2,Manufacture of air and spacecraft and related machinery,JQS8,Nov 2016
3312.4,Manufacture of air and spacecraft and related machinery,JQS8,Dec 2016
1742.7,Manufacture of air and spacecraft and related machinery,JQS8,Jan 2017
2344.4,Manufacture of air and spacecraft and related machinery,JQS8,Feb 2017
2896.9,Manufacture of air and spacecraft and related machinery,JQS8,Mar 2017
2072.1,Manufacture of air and spacecraft and related machinery,JQS8,Apr 2017
2622.0,Manufacture of air and spacecraft and related machinery,JQS8,May 2017
3210.8,Manufacture of air and spacecraft and related machinery,JQS8,Jun 2017
2172.8,Manufacture of air and spacecraft and related machinery,JQS8,Jul 2017
2281.0,Manufacture of air and spacecraft and related machinery,JQS8,Aug 2017
2660.0,Manufacture of air and spacecraft and related machinery,JQS8,Sep 2017
2162.2,Manufacture of other transport equipment,JQU4,2012
2487.0,Manufacture of other transport equipment,JQU4,2013
2417.0,Manufacture of other transport equipment,JQU4,2014
2293.0,Manufacture of other transport equipment,JQU4,2015
2381.1,Manufacture of other transport equipment,JQU4,2016
579.2,Manufacture of other transport equipment,JQU4,Q3 2015
543.3,Manufacture of other transport equipment,JQU4,Q4 2015
603.5,Manufacture of other transport equipment,JQU4,Q1 2016
637.5,Manufacture of other transport equipment,JQU4,Q2 2016
563.5,Manufacture of other transport equipment,JQU4,Q3 2016
576.6,Manufacture of other transport equipment,JQU4,Q4 2016
646.4,Manufacture of other transport equipment,JQU4,Q1 2017
706.2,Manufacture of other transport equipment,JQU4,Q2 2017
672.7,Manufacture of other transport equipment,JQU4,Q3 2017
201.0,Manufacture of other transport equipment,JQU4,Jul 2015
175.7,Manufacture of other transport equipment,JQU4,Aug 2015
202.5,Manufacture of other transport equipment,JQU4,Sep 2015
178.8,Manufacture of other transport equipment,JQU4,Oct 2015
172.9,Manufacture of other transport equipment,JQU4,Nov 2015
191.6,Manufacture of other transport equipment,JQU4,Dec 2015
146.9,Manufacture of other transport equipment,JQU4,Jan 2016
195.0,Manufacture of other transport equipment,JQU4,Feb 2016
261.6,Manufacture of other transport equipment,JQU4,Mar 2016
180.8,Manufacture of other transport equipment,JQU4,Apr 2016
196.3,Manufacture of other transport equipment,JQU4,May 2016
260.4,Manufacture of other transport equipment,JQU4,Jun 2016
170.7,Manufacture of other transport equipment,JQU4,Jul 2016
164.4,Manufacture of other transport equipment,JQU4,Aug 2016
228.4,Manufacture of other transport equipment,JQU4,Sep 2016
201.5,Manufacture of other transport equipment,JQU4,Oct 2016
166.8,Manufacture of other transport equipment,JQU4,Nov 2016
208.3,Manufacture of other transport equipment,JQU4,Dec 2016
193.0,Manufacture of other transport equipment,JQU4,Jan 2017
202.0,Manufacture of other transport equipment,JQU4,Feb 2017
251.4,Manufacture of other transport equipment,JQU4,Mar 2017
213.8,Manufacture of other transport equipment,JQU4,Apr 2017
233.8,Manufacture of other transport equipment,JQU4,May 2017
258.6,Manufacture of other transport equipment,JQU4,Jun 2017
222.4,Manufacture of other transport equipment,JQU4,Jul 2017
206.0,Manufacture of other transport equipment,JQU4,Aug 2017
244.3,Manufacture of other transport equipment,JQU4,Sep 2017
6722.5,Manufacture of furniture,JQV2,2012
6821.2,Manufacture of furniture,JQV2,2013
7661.3,Manufacture of furniture,JQV2,2014
8011.8,Manufacture of furniture,JQV2,2015
8472.3,Manufacture of furniture,JQV2,2016
2032.2,Manufacture of furniture,JQV2,Q3 2015
2075.8,Manufacture of furniture,JQV2,Q4 2015
2014.8,Manufacture of furniture,JQV2,Q1 2016
2070.6,Manufacture of furniture,JQV2,Q2 2016
2232.6,Manufacture of furniture,JQV2,Q3 2016
2154.3,Manufacture of furniture,JQV2,Q4 2016
2194.9,Manufacture of furniture,JQV2,Q1 2017
2081.7,Manufacture of furniture,JQV2,Q2 2017
2262.1,Manufacture of furniture,JQV2,Q3 2017
714.3,Manufacture of furniture,JQV2,Jul 2015
611.8,Manufacture of furniture,JQV2,Aug 2015
706.1,Manufacture of furniture,JQV2,Sep 2015
712.9,Manufacture of furniture,JQV2,Oct 2015
766.4,Manufacture of furniture,JQV2,Nov 2015
596.5,Manufacture of furniture,JQV2,Dec 2015
577.3,Manufacture of furniture,JQV2,Jan 2016
686.3,Manufacture of furniture,JQV2,Feb 2016
751.2,Manufacture of furniture,JQV2,Mar 2016
701.1,Manufacture of furniture,JQV2,Apr 2016
680.9,Manufacture of furniture,JQV2,May 2016
688.6,Manufacture of furniture,JQV2,Jun 2016
704.6,Manufacture of furniture,JQV2,Jul 2016
751.3,Manufacture of furniture,JQV2,Aug 2016
776.7,Manufacture of furniture,JQV2,Sep 2016
776.1,Manufacture of furniture,JQV2,Oct 2016
793.7,Manufacture of furniture,JQV2,Nov 2016
584.5,Manufacture of furniture,JQV2,Dec 2016
662.8,Manufacture of furniture,JQV2,Jan 2017
718.7,Manufacture of furniture,JQV2,Feb 2017
813.4,Manufacture of furniture,JQV2,Mar 2017
659.9,Manufacture of furniture,JQV2,Apr 2017
717.2,Manufacture of furniture,JQV2,May 2017
704.6,Manufacture of furniture,JQV2,Jun 2017
710.4,Manufacture of furniture,JQV2,Jul 2017
788.0,Manufacture of furniture,JQV2,Aug 2017
763.7,Manufacture of furniture,JQV2,Sep 2017
8784.8,Other manufacturing,JQV5,2012
9217.7,Other manufacturing,JQV5,2013
9422.9,Other manufacturing,JQV5,2014
8830.2,Other manufacturing,JQV5,2015
9902.8,Other manufacturing,JQV5,2016
2194.0,Other manufacturing,JQV5,Q3 2015
2248.9,Other manufacturing,JQV5,Q4 2015
2488.6,Other manufacturing,JQV5,Q1 2016
2433.5,Other manufacturing,JQV5,Q2 2016
2407.6,Other manufacturing,JQV5,Q3 2016
2573.1,Other manufacturing,JQV5,Q4 2016
2722.0,Other manufacturing,JQV5,Q1 2017
2406.6,Other manufacturing,JQV5,Q2 2017
2562.4,Other manufacturing,JQV5,Q3 2017
738.7,Other manufacturing,JQV5,Jul 2015
644.9,Other manufacturing,JQV5,Aug 2015
810.4,Other manufacturing,JQV5,Sep 2015
756.6,Other manufacturing,JQV5,Oct 2015
757.9,Other manufacturing,JQV5,Nov 2015
734.4,Other manufacturing,JQV5,Dec 2015
772.0,Other manufacturing,JQV5,Jan 2016
844.6,Other manufacturing,JQV5,Feb 2016
872.0,Other manufacturing,JQV5,Mar 2016
818.4,Other manufacturing,JQV5,Apr 2016
789.9,Other manufacturing,JQV5,May 2016
825.2,Other manufacturing,JQV5,Jun 2016
789.3,Other manufacturing,JQV5,Jul 2016
755.3,Other manufacturing,JQV5,Aug 2016
863.0,Other manufacturing,JQV5,Sep 2016
841.6,Other manufacturing,JQV5,Oct 2016
908.1,Other manufacturing,JQV5,Nov 2016
823.4,Other manufacturing,JQV5,Dec 2016
839.8,Other manufacturing,JQV5,Jan 2017
869.1,Other manufacturing,JQV5,Feb 2017
1013.1,Other manufacturing,JQV5,Mar 2017
736.7,Other manufacturing,JQV5,Apr 2017
814.1,Other manufacturing,JQV5,May 2017
855.8,Other manufacturing,JQV5,Jun 2017
837.3,Other manufacturing,JQV5,Jul 2017
823.9,Other manufacturing,JQV5,Aug 2017
901.2,Other manufacturing,JQV5,Sep 2017
