Value,Identifier,Housing,Time Period
34.5,MV36,Public new housing,Apr to June 2003
36.3,MV36,Public new housing,July to Sept 2003
39,MV36,Public new housing,Oct to Dec 2003
42.6,MV36,Public new housing,Jan to Mar 2004
43.7,MV36,Public new housing,Apr to June 2004
43.2,MV36,Public new housing,July to Sept 2004
42.1,MV36,Public new housing,Oct to Dec 2004
40.4,MV36,Public new housing,Jan to Mar 2005
39.6,MV36,Public new housing,Apr to June 2005
38.8,MV36,Public new housing,July to Sept 2005
42.6,MV36,Public new housing,Oct to Dec 2005
44.8,MV36,Public new housing,Jan to Mar 2006
47,MV36,Public new housing,Apr to June 2006
48.9,MV36,Public new housing,July to Sept 2006
49.6,MV36,Public new housing,Oct to Dec 2006
54.8,MV36,Public new housing,Jan to Mar 2007
56,MV36,Public new housing,Apr to June 2007
54.9,MV36,Public new housing,July to Sept 2007
54,MV36,Public new housing,Oct to Dec 2007
51.8,MV36,Public new housing,Jan to Mar 2008
51.1,MV36,Public new housing,Apr to June 2008
49.8,MV36,Public new housing,July to Sept 2008
46,MV36,Public new housing,Oct to Dec 2008
43,MV36,Public new housing,Jan to Mar 2009
45,MV36,Public new housing,Apr to June 2009
52.9,MV36,Public new housing,July to Sept 2009
61.6,MV36,Public new housing,Oct to Dec 2009
72.3,MV36,Public new housing,Jan to Mar 2010
76.3,MV36,Public new housing,Apr to June 2010
85.3,MV36,Public new housing,July to Sept 2010
83,MV36,Public new housing,Oct to Dec 2010
87.4,MV36,Public new housing,Jan to Mar 2011
83.6,MV36,Public new housing,Apr to June 2011
77.8,MV36,Public new housing,July to Sept 2011
76,MV36,Public new housing,Oct to Dec 2011
73.6,MV36,Public new housing,Jan to Mar 2012
65.1,MV36,Public new housing,Apr to June 2012
66.1,MV36,Public new housing,July to Sept 2012
66.2,MV36,Public new housing,Oct to Dec 2012
67.1,MV36,Public new housing,Jan to Mar 2013
69.2,MV36,Public new housing,Apr to June 2013
71.1,MV36,Public new housing,July to Sept 2013
80.2,MV36,Public new housing,Oct to Dec 2013
88.6,MV36,Public new housing,Jan to Mar 2014
96.7,MV36,Public new housing,Apr to June 2014
99.4,MV36,Public new housing,July to Sept 2014
96.6,MV36,Public new housing,Oct to Dec 2014
92.4,MV36,Public new housing,Jan to Mar 2015
85.7,MV36,Public new housing,Apr to June 2015
71.4,MV36,Public new housing,July to Sept 2015
69.9,MV36,Public new housing,Oct to Dec 2015
77.3,MV36,Public new housing,Jan to Mar 2016
73.7,MV36,Public new housing,Apr to June 2016
74.8,MV36,Public new housing,July to Sept 2016
77.9,MV36,Public new housing,Oct to Dec 2016
87.6,MV36,Public new housing,Jan to Mar 2017
88.6,MV36,Public new housing,Apr to June 2017
88.3,MV36,Public new housing,July to Sept 2017
89.2,MV36,Public new housing,Oct to Dec 2017
83.3,MV36,Public new housing,Jan to Mar 2018
83.9,MV36,Public new housing,Apr to June 2018
87.6,MV36,Public new housing,July to Sept 2018
89.6,MV36,Public new housing,Oct to Dec 2018
95.7,MV36,Public new housing,Jan to Mar 2019
103.6,MV36,Public new housing,Apr to June 2019
98.1,MV36,Public new housing,July to Sept 2019
102.6,MV36,Public new housing,Oct to Dec 2019
98.1,MV36,Public new housing,Jan to Mar 2020
37.7,MV36,Public new housing,Apr to June 2020
67.2,MV36,Public new housing,July to Sept 2020
66.7,MV36,Public new housing,Oct to Dec 2020
69.7,MV36,Public new housing,Jan to Mar 2021
70.8,MV36,Public new housing,Apr to June 2021
75,MV36,Public new housing,July to Sept 2021
76.4,MV36,Public new housing,Oct to Dec 2021
80,MV36,Public new housing,Jan to Mar 2022
76.9,MV36,Public new housing,Apr to Jun 2022
71.8,MV36,Public new housing,Jul to Sep 2022
76.8,MV36,Public new housing,Oct to Dec 2022
77.9,MV36,Public new housing,Jan to Mar 2023
63.4,MV36,Public new housing,Jan 2010
78.3,MV36,Public new housing,Feb 2010
75.1,MV36,Public new housing,Mar 2010
77.4,MV36,Public new housing,Apr 2010
78.8,MV36,Public new housing,May 2010
72.9,MV36,Public new housing,Jun 2010
83.7,MV36,Public new housing,Jul 2010
87.3,MV36,Public new housing,Aug 2010
84.8,MV36,Public new housing,Sep 2010
85.3,MV36,Public new housing,Oct 2010
85.3,MV36,Public new housing,Nov 2010
78.5,MV36,Public new housing,Dec 2010
87.3,MV36,Public new housing,Jan 2011
86.6,MV36,Public new housing,Feb 2011
88.3,MV36,Public new housing,Mar 2011
85.7,MV36,Public new housing,Apr 2011
85,MV36,Public new housing,May 2011
80.1,MV36,Public new housing,Jun 2011
74.1,MV36,Public new housing,Jul 2011
76.9,MV36,Public new housing,Aug 2011
82.2,MV36,Public new housing,Sep 2011
75.8,MV36,Public new housing,Oct 2011
78.2,MV36,Public new housing,Nov 2011
73.9,MV36,Public new housing,Dec 2011
81,MV36,Public new housing,Jan 2012
71.6,MV36,Public new housing,Feb 2012
68.3,MV36,Public new housing,Mar 2012
69.9,MV36,Public new housing,Apr 2012
66.3,MV36,Public new housing,May 2012
59.3,MV36,Public new housing,Jun 2012
67.3,MV36,Public new housing,Jul 2012
65.7,MV36,Public new housing,Aug 2012
65.4,MV36,Public new housing,Sep 2012
65.4,MV36,Public new housing,Oct 2012
65.3,MV36,Public new housing,Nov 2012
67.8,MV36,Public new housing,Dec 2012
66.5,MV36,Public new housing,Jan 2013
67.2,MV36,Public new housing,Feb 2013
67.6,MV36,Public new housing,Mar 2013
67.3,MV36,Public new housing,Apr 2013
70.2,MV36,Public new housing,May 2013
70.1,MV36,Public new housing,Jun 2013
70.3,MV36,Public new housing,Jul 2013
71.8,MV36,Public new housing,Aug 2013
71,MV36,Public new housing,Sep 2013
80.9,MV36,Public new housing,Oct 2013
80.8,MV36,Public new housing,Nov 2013
78.8,MV36,Public new housing,Dec 2013
87.3,MV36,Public new housing,Jan 2014
89.1,MV36,Public new housing,Feb 2014
89.6,MV36,Public new housing,Mar 2014
90,MV36,Public new housing,Apr 2014
98.8,MV36,Public new housing,May 2014
101.1,MV36,Public new housing,Jun 2014
97.1,MV36,Public new housing,Jul 2014
101.6,MV36,Public new housing,Aug 2014
99.6,MV36,Public new housing,Sep 2014
99.2,MV36,Public new housing,Oct 2014
94.9,MV36,Public new housing,Nov 2014
95.6,MV36,Public new housing,Dec 2014
93.6,MV36,Public new housing,Jan 2015
93.8,MV36,Public new housing,Feb 2015
89.9,MV36,Public new housing,Mar 2015
94.4,MV36,Public new housing,Apr 2015
83.7,MV36,Public new housing,May 2015
79.1,MV36,Public new housing,Jun 2015
75,MV36,Public new housing,Jul 2015
69.1,MV36,Public new housing,Aug 2015
70.2,MV36,Public new housing,Sep 2015
70,MV36,Public new housing,Oct 2015
67.6,MV36,Public new housing,Nov 2015
72.3,MV36,Public new housing,Dec 2015
80.5,MV36,Public new housing,Jan 2016
74.5,MV36,Public new housing,Feb 2016
76.9,MV36,Public new housing,Mar 2016
70.6,MV36,Public new housing,Apr 2016
74.4,MV36,Public new housing,May 2016
76,MV36,Public new housing,Jun 2016
74.7,MV36,Public new housing,Jul 2016
75.6,MV36,Public new housing,Aug 2016
74.2,MV36,Public new housing,Sep 2016
75.6,MV36,Public new housing,Oct 2016
76.5,MV36,Public new housing,Nov 2016
81.4,MV36,Public new housing,Dec 2016
87.3,MV36,Public new housing,Jan 2017
86.7,MV36,Public new housing,Feb 2017
88.9,MV36,Public new housing,Mar 2017
86.7,MV36,Public new housing,Apr 2017
94.5,MV36,Public new housing,May 2017
84.6,MV36,Public new housing,Jun 2017
88.2,MV36,Public new housing,Jul 2017
88.1,MV36,Public new housing,Aug 2017
88.6,MV36,Public new housing,Sep 2017
82.3,MV36,Public new housing,Oct 2017
90.3,MV36,Public new housing,Nov 2017
94.8,MV36,Public new housing,Dec 2017
83.1,MV36,Public new housing,Jan 2018
84,MV36,Public new housing,Feb 2018
82.9,MV36,Public new housing,Mar 2018
82.3,MV36,Public new housing,Apr 2018
83.1,MV36,Public new housing,May 2018
86.4,MV36,Public new housing,Jun 2018
86.7,MV36,Public new housing,Jul 2018
86,MV36,Public new housing,Aug 2018
90,MV36,Public new housing,Sep 2018
85.7,MV36,Public new housing,Oct 2018
86.7,MV36,Public new housing,Nov 2018
96.3,MV36,Public new housing,Dec 2018
95.8,MV36,Public new housing,Jan 2019
94.9,MV36,Public new housing,Feb 2019
96.5,MV36,Public new housing,Mar 2019
97.6,MV36,Public new housing,Apr 2019
101.3,MV36,Public new housing,May 2019
111.9,MV36,Public new housing,Jun 2019
94.8,MV36,Public new housing,Jul 2019
98.5,MV36,Public new housing,Aug 2019
100.9,MV36,Public new housing,Sep 2019
103,MV36,Public new housing,Oct 2019
103.6,MV36,Public new housing,Nov 2019
101.3,MV36,Public new housing,Dec 2019
102.3,MV36,Public new housing,Jan 2020
100,MV36,Public new housing,Feb 2020
91.9,MV36,Public new housing,Mar 2020
31.8,MV36,Public new housing,Apr 2020
37.1,MV36,Public new housing,May 2020
44.2,MV36,Public new housing,Jun 2020
67.4,MV36,Public new housing,Jul 2020
69.1,MV36,Public new housing,Aug 2020
65.1,MV36,Public new housing,Sep 2020
70.1,MV36,Public new housing,Oct 2020
70.6,MV36,Public new housing,Nov 2020
59.3,MV36,Public new housing,Dec 2020
66.9,MV36,Public new housing,Jan 2021
72,MV36,Public new housing,Feb 2021
70.3,MV36,Public new housing,Mar 2021
72.6,MV36,Public new housing,Apr 2021
72.6,MV36,Public new housing,May 2021
67.2,MV36,Public new housing,Jun 2021
73.9,MV36,Public new housing,Jul 2021
78.5,MV36,Public new housing,Aug 2021
72.5,MV36,Public new housing,Sep 2021
71.8,MV36,Public new housing,Oct 2021
78.6,MV36,Public new housing,Nov 2021
78.8,MV36,Public new housing,Dec 2021
80.4,MV36,Public new housing,Jan 2022
78.4,MV36,Public new housing,Feb 2022
81.1,MV36,Public new housing,Mar 2022
80.4,MV36,Public new housing,Apr 2022
73.5,MV36,Public new housing,May 2022
76.9,MV36,Public new housing,Jun 2022
74.1,MV36,Public new housing,Jul 2022
68.7,MV36,Public new housing,Aug 2022
72.6,MV36,Public new housing,Sep 2022
75.7,MV36,Public new housing,Oct 2022
75.6,MV36,Public new housing,Nov 2022
79.2,MV36,Public new housing,Dec 2022
77.5,MV36,Public new housing,Jan 2023
78.4,MV36,Public new housing,Feb 2023
77.8,MV36,Public new housing,Mar 2023
74.2,MV36,Public new housing,Apr 2023
45.3,MV37,Private new housing,1998
40.7,MV37,Private new housing,1999
45.5,MV37,Private new housing,2000
42.5,MV37,Private new housing,2001
46.3,MV37,Private new housing,2002
57.8,MV37,Private new housing,2003
70.2,MV37,Private new housing,2004
72.2,MV37,Private new housing,2005
72.5,MV37,Private new housing,2006
71.3,MV37,Private new housing,2007
55.3,MV37,Private new housing,2008
38,MV37,Private new housing,2009
46.1,MV37,Private new housing,2010
50.1,MV37,Private new housing,2011
48.1,MV37,Private new housing,2012
52.9,MV37,Private new housing,2013
67.4,MV37,Private new housing,2014
74,MV37,Private new housing,2015
83.6,MV37,Private new housing,2016
90.4,MV37,Private new housing,2017
95.4,MV37,Private new housing,2018
100,MV37,Private new housing,2019
81.2,MV37,Private new housing,2020
94.6,MV37,Private new housing,2021
103.9,MV37,Private new housing,2022
43,MV37,Private new housing,Jan to Mar 1997
42.9,MV37,Private new housing,Apr to June 1997
44.1,MV37,Private new housing,July to Sept 1997
49.2,MV37,Private new housing,Oct to Dec 1997
45.3,MV37,Private new housing,Jan to Mar 1998
47.1,MV37,Private new housing,Apr to June 1998
44.9,MV37,Private new housing,July to Sept 1998
43.6,MV37,Private new housing,Oct to Dec 1998
41.8,MV37,Private new housing,Jan to Mar 1999
41.9,MV37,Private new housing,Apr to June 1999
41.2,MV37,Private new housing,July to Sept 1999
37.9,MV37,Private new housing,Oct to Dec 1999
46.1,MV37,Private new housing,Jan to Mar 2000
45.8,MV37,Private new housing,Apr to June 2000
45.6,MV37,Private new housing,July to Sept 2000
44.5,MV37,Private new housing,Oct to Dec 2000
40.6,MV37,Private new housing,Jan to Mar 2001
42.1,MV37,Private new housing,Apr to June 2001
43.6,MV37,Private new housing,July to Sept 2001
43.6,MV37,Private new housing,Oct to Dec 2001
43.8,MV37,Private new housing,Jan to Mar 2002
43.6,MV37,Private new housing,Apr to June 2002
47.4,MV37,Private new housing,July to Sept 2002
50.4,MV37,Private new housing,Oct to Dec 2002
52.8,MV37,Private new housing,Jan to Mar 2003
54.4,MV37,Private new housing,Apr to June 2003
59.1,MV37,Private new housing,July to Sept 2003
64.7,MV37,Private new housing,Oct to Dec 2003
68.8,MV37,Private new housing,Jan to Mar 2004
69.8,MV37,Private new housing,Apr to June 2004
70.9,MV37,Private new housing,July to Sept 2004
71.2,MV37,Private new housing,Oct to Dec 2004
71.7,MV37,Private new housing,Jan to Mar 2005
73.5,MV37,Private new housing,Apr to June 2005
72.4,MV37,Private new housing,July to Sept 2005
71.3,MV37,Private new housing,Oct to Dec 2005
71,MV37,Private new housing,Jan to Mar 2006
72,MV37,Private new housing,Apr to June 2006
73.1,MV37,Private new housing,July to Sept 2006
73.8,MV37,Private new housing,Oct to Dec 2006
73.8,MV37,Private new housing,Jan to Mar 2007
72.3,MV37,Private new housing,Apr to June 2007
70.7,MV37,Private new housing,July to Sept 2007
68.4,MV37,Private new housing,Oct to Dec 2007
65,MV37,Private new housing,Jan to Mar 2008
58.9,MV37,Private new housing,Apr to June 2008
52.3,MV37,Private new housing,July to Sept 2008
45.1,MV37,Private new housing,Oct to Dec 2008
39.7,MV37,Private new housing,Jan to Mar 2009
38.1,MV37,Private new housing,Apr to June 2009
36.2,MV37,Private new housing,July to Sept 2009
38,MV37,Private new housing,Oct to Dec 2009
41.5,MV37,Private new housing,Jan to Mar 2010
45.5,MV37,Private new housing,Apr to June 2010
48.9,MV37,Private new housing,July to Sept 2010
48.6,MV37,Private new housing,Oct to Dec 2010
49.9,MV37,Private new housing,Jan to Mar 2011
50.4,MV37,Private new housing,Apr to June 2011
50.9,MV37,Private new housing,July to Sept 2011
49.4,MV37,Private new housing,Oct to Dec 2011
50.4,MV37,Private new housing,Jan to Mar 2012
47.9,MV37,Private new housing,Apr to June 2012
46.5,MV37,Private new housing,July to Sept 2012
47.8,MV37,Private new housing,Oct to Dec 2012
48.6,MV37,Private new housing,Jan to Mar 2013
51.8,MV37,Private new housing,Apr to June 2013
53.9,MV37,Private new housing,July to Sept 2013
57.1,MV37,Private new housing,Oct to Dec 2013
63,MV37,Private new housing,Jan to Mar 2014
66.4,MV37,Private new housing,Apr to June 2014
69.7,MV37,Private new housing,July to Sept 2014
70.3,MV37,Private new housing,Oct to Dec 2014
72.3,MV37,Private new housing,Jan to Mar 2015
75.2,MV37,Private new housing,Apr to June 2015
72.4,MV37,Private new housing,July to Sept 2015
76.1,MV37,Private new housing,Oct to Dec 2015
81.8,MV37,Private new housing,Jan to Mar 2016
83.7,MV37,Private new housing,Apr to June 2016
83.8,MV37,Private new housing,July to Sept 2016
85.2,MV37,Private new housing,Oct to Dec 2016
88.4,MV37,Private new housing,Jan to Mar 2017
88.4,MV37,Private new housing,Apr to June 2017
89.3,MV37,Private new housing,July to Sept 2017
95.4,MV37,Private new housing,Oct to Dec 2017
94.5,MV37,Private new housing,Jan to Mar 2018
92.3,MV37,Private new housing,Apr to June 2018
96.8,MV37,Private new housing,July to Sept 2018
98,MV37,Private new housing,Oct to Dec 2018
100.5,MV37,Private new housing,Jan to Mar 2019
98.3,MV37,Private new housing,Apr to June 2019
102.6,MV37,Private new housing,July to Sept 2019
98.6,MV37,Private new housing,Oct to Dec 2019
96.4,MV37,Private new housing,Jan to Mar 2020
47.7,MV37,Private new housing,Apr to June 2020
87.3,MV37,Private new housing,July to Sept 2020
93.6,MV37,Private new housing,Oct to Dec 2020
94.6,MV37,Private new housing,Jan to Mar 2021
95.8,MV37,Private new housing,Apr to June 2021
93.7,MV37,Private new housing,July to Sept 2021
94.4,MV37,Private new housing,Oct to Dec 2021
98.8,MV37,Private new housing,Jan to Mar 2022
105.1,MV37,Private new housing,Apr to Jun 2022
107.1,MV37,Private new housing,Jul to Sep 2022
104.8,MV37,Private new housing,Oct to Dec 2022
99.2,MV37,Private new housing,Jan to Mar 2023
37.9,MV37,Private new housing,Jan 2010
42.5,MV37,Private new housing,Feb 2010
44,MV37,Private new housing,Mar 2010
44.9,MV37,Private new housing,Apr 2010
46.8,MV37,Private new housing,May 2010
44.9,MV37,Private new housing,Jun 2010
47.1,MV37,Private new housing,Jul 2010
49.8,MV37,Private new housing,Aug 2010
49.9,MV37,Private new housing,Sep 2010
50.4,MV37,Private new housing,Oct 2010
49.7,MV37,Private new housing,Nov 2010
45.7,MV37,Private new housing,Dec 2010
49,MV37,Private new housing,Jan 2011
50.4,MV37,Private new housing,Feb 2011
50.2,MV37,Private new housing,Mar 2011
49.7,MV37,Private new housing,Apr 2011
49.5,MV37,Private new housing,May 2011
51.8,MV37,Private new housing,Jun 2011
52.2,MV37,Private new housing,Jul 2011
50.8,MV37,Private new housing,Aug 2011
49.6,MV37,Private new housing,Sep 2011
48.8,MV37,Private new housing,Oct 2011
49.2,MV37,Private new housing,Nov 2011
50.1,MV37,Private new housing,Dec 2011
50.5,MV37,Private new housing,Jan 2012
49,MV37,Private new housing,Feb 2012
51.6,MV37,Private new housing,Mar 2012
47.7,MV37,Private new housing,Apr 2012
48.7,MV37,Private new housing,May 2012
47.3,MV37,Private new housing,Jun 2012
46.4,MV37,Private new housing,Jul 2012
45.5,MV37,Private new housing,Aug 2012
47.8,MV37,Private new housing,Sep 2012
47.6,MV37,Private new housing,Oct 2012
48.4,MV37,Private new housing,Nov 2012
47.4,MV37,Private new housing,Dec 2012
46.5,MV37,Private new housing,Jan 2013
50.4,MV37,Private new housing,Feb 2013
48.8,MV37,Private new housing,Mar 2013
49.5,MV37,Private new housing,Apr 2013
51.6,MV37,Private new housing,May 2013
54.3,MV37,Private new housing,Jun 2013
52.9,MV37,Private new housing,Jul 2013
54.5,MV37,Private new housing,Aug 2013
54.4,MV37,Private new housing,Sep 2013
56.1,MV37,Private new housing,Oct 2013
55.9,MV37,Private new housing,Nov 2013
59.4,MV37,Private new housing,Dec 2013
64.7,MV37,Private new housing,Jan 2014
61.9,MV37,Private new housing,Feb 2014
62.5,MV37,Private new housing,Mar 2014
66.1,MV37,Private new housing,Apr 2014
66.3,MV37,Private new housing,May 2014
66.8,MV37,Private new housing,Jun 2014
69.3,MV37,Private new housing,Jul 2014
69.7,MV37,Private new housing,Aug 2014
70.2,MV37,Private new housing,Sep 2014
69.6,MV37,Private new housing,Oct 2014
71.2,MV37,Private new housing,Nov 2014
70.2,MV37,Private new housing,Dec 2014
73.1,MV37,Private new housing,Jan 2015
71.7,MV37,Private new housing,Feb 2015
72.1,MV37,Private new housing,Mar 2015
76.1,MV37,Private new housing,Apr 2015
76.5,MV37,Private new housing,May 2015
73,MV37,Private new housing,Jun 2015
72.3,MV37,Private new housing,Jul 2015
72.4,MV37,Private new housing,Aug 2015
72.3,MV37,Private new housing,Sep 2015
74.5,MV37,Private new housing,Oct 2015
72.9,MV37,Private new housing,Nov 2015
80.7,MV37,Private new housing,Dec 2015
79.1,MV37,Private new housing,Jan 2016
82.1,MV37,Private new housing,Feb 2016
84.1,MV37,Private new housing,Mar 2016
84.8,MV37,Private new housing,Apr 2016
83.2,MV37,Private new housing,May 2016
82.9,MV37,Private new housing,Jun 2016
83.7,MV37,Private new housing,Jul 2016
83.5,MV37,Private new housing,Aug 2016
84.1,MV37,Private new housing,Sep 2016
83.9,MV37,Private new housing,Oct 2016
82.9,MV37,Private new housing,Nov 2016
88.8,MV37,Private new housing,Dec 2016
87.6,MV37,Private new housing,Jan 2017
88.3,MV37,Private new housing,Feb 2017
89.3,MV37,Private new housing,Mar 2017
88.1,MV37,Private new housing,Apr 2017
86.7,MV37,Private new housing,May 2017
90.4,MV37,Private new housing,Jun 2017
87.7,MV37,Private new housing,Jul 2017
90.9,MV37,Private new housing,Aug 2017
89.4,MV37,Private new housing,Sep 2017
90.8,MV37,Private new housing,Oct 2017
93.6,MV37,Private new housing,Nov 2017
101.9,MV37,Private new housing,Dec 2017
92.1,MV37,Private new housing,Jan 2018
98.4,MV37,Private new housing,Feb 2018
93,MV37,Private new housing,Mar 2018
91.2,MV37,Private new housing,Apr 2018
92.3,MV37,Private new housing,May 2018
93.4,MV37,Private new housing,Jun 2018
97.5,MV37,Private new housing,Jul 2018
95.7,MV37,Private new housing,Aug 2018
97.3,MV37,Private new housing,Sep 2018
97.2,MV37,Private new housing,Oct 2018
99.5,MV37,Private new housing,Nov 2018
97.1,MV37,Private new housing,Dec 2018
99.1,MV37,Private new housing,Jan 2019
104.6,MV37,Private new housing,Feb 2019
97.9,MV37,Private new housing,Mar 2019
98.6,MV37,Private new housing,Apr 2019
98.4,MV37,Private new housing,May 2019
97.9,MV37,Private new housing,Jun 2019
103.1,MV37,Private new housing,Jul 2019
103.4,MV37,Private new housing,Aug 2019
101.2,MV37,Private new housing,Sep 2019
97.4,MV37,Private new housing,Oct 2019
99.4,MV37,Private new housing,Nov 2019
99.1,MV37,Private new housing,Dec 2019
101.8,MV37,Private new housing,Jan 2020
96.6,MV37,Private new housing,Feb 2020
90.9,MV37,Private new housing,Mar 2020
37.8,MV37,Private new housing,Apr 2020
44.7,MV37,Private new housing,May 2020
60.7,MV37,Private new housing,Jun 2020
80.6,MV37,Private new housing,Jul 2020
88.8,MV37,Private new housing,Aug 2020
92.6,MV37,Private new housing,Sep 2020
92.9,MV37,Private new housing,Oct 2020
93.5,MV37,Private new housing,Nov 2020
94.3,MV37,Private new housing,Dec 2020
89.8,MV37,Private new housing,Jan 2021
94.8,MV37,Private new housing,Feb 2021
99.2,MV37,Private new housing,Mar 2021
95.7,MV37,Private new housing,Apr 2021
97.1,MV37,Private new housing,May 2021
94.7,MV37,Private new housing,Jun 2021
92.8,MV37,Private new housing,Jul 2021
93.3,MV37,Private new housing,Aug 2021
94.9,MV37,Private new housing,Sep 2021
90.8,MV37,Private new housing,Oct 2021
94.1,MV37,Private new housing,Nov 2021
98.2,MV37,Private new housing,Dec 2021
99,MV37,Private new housing,Jan 2022
99.9,MV37,Private new housing,Feb 2022
97.5,MV37,Private new housing,Mar 2022
101.8,MV37,Private new housing,Apr 2022
109.1,MV37,Private new housing,May 2022
104.3,MV37,Private new housing,Jun 2022
106.7,MV37,Private new housing,Jul 2022
108.2,MV37,Private new housing,Aug 2022
106.3,MV37,Private new housing,Sep 2022
107.7,MV37,Private new housing,Oct 2022
103.9,MV37,Private new housing,Nov 2022
102.8,MV37,Private new housing,Dec 2022
98.5,MV37,Private new housing,Jan 2023
100.3,MV37,Private new housing,Feb 2023
98.9,MV37,Private new housing,Mar 2023
95.9,MV37,Private new housing,Apr 2023
42,MVL7,Total new housing,1998
37.7,MVL7,Total new housing,1999
42.6,MVL7,Total new housing,2000
40.1,MVL7,Total new housing,2001
43.9,MVL7,Total new housing,2002
54.3,MVL7,Total new housing,2003
65.8,MVL7,Total new housing,2004
67.2,MVL7,Total new housing,2005
68.5,MVL7,Total new housing,2006
68.6,MVL7,Total new housing,2007
54.3,MVL7,Total new housing,2008
39.9,MVL7,Total new housing,2009
51.2,MVL7,Total new housing,2010
54.8,MVL7,Total new housing,2011
51.1,MVL7,Total new housing,2012
55.7,MVL7,Total new housing,2013
71.6,MVL7,Total new housing,2014
74.9,MVL7,Total new housing,2015
82.4,MVL7,Total new housing,2016
90.1,MVL7,Total new housing,2017
94,MVL7,Total new housing,2018
100,MVL7,Total new housing,2019
79.2,MVL7,Total new housing,2020
91.3,MVL7,Total new housing,2021
99.8,MVL7,Total new housing,2022
40.9,MVL7,Total new housing,Jan to Mar 1997
41.2,MVL7,Total new housing,Apr to June 1997
42.3,MVL7,Total new housing,July to Sept 1997
45.9,MVL7,Total new housing,Oct to Dec 1997
42.4,MVL7,Total new housing,Jan to Mar 1998
43.8,MVL7,Total new housing,Apr to June 1998
41.6,MVL7,Total new housing,July to Sept 1998
40.4,MVL7,Total new housing,Oct to Dec 1998
38.6,MVL7,Total new housing,Jan to Mar 1999
38.4,MVL7,Total new housing,Apr to June 1999
38.1,MVL7,Total new housing,July to Sept 1999
35.6,MVL7,Total new housing,Oct to Dec 1999
42.9,MVL7,Total new housing,Jan to Mar 2000
42.8,MVL7,Total new housing,Apr to June 2000
42.6,MVL7,Total new housing,July to Sept 2000
41.9,MVL7,Total new housing,Oct to Dec 2000
37.9,MVL7,Total new housing,Jan to Mar 2001
40,MVL7,Total new housing,Apr to June 2001
41.1,MVL7,Total new housing,July to Sept 2001
41.4,MVL7,Total new housing,Oct to Dec 2001
41.8,MVL7,Total new housing,Jan to Mar 2002
41.5,MVL7,Total new housing,Apr to June 2002
44.9,MVL7,Total new housing,July to Sept 2002
47.4,MVL7,Total new housing,Oct to Dec 2002
49.7,MVL7,Total new housing,Jan to Mar 2003
51.2,MVL7,Total new housing,Apr to June 2003
55.5,MVL7,Total new housing,July to Sept 2003
60.6,MVL7,Total new housing,Oct to Dec 2003
64.6,MVL7,Total new housing,Jan to Mar 2004
65.7,MVL7,Total new housing,Apr to June 2004
66.5,MVL7,Total new housing,July to Sept 2004
